
Image Name                     PID Session Name        Session#    Mem Usage
dasHost.exe                   8652 Services                   0         68 K
svchost.exe                  11596 Services                   0      1,164 K
svchost.exe                  11648 Services                   0      3,156 K
svchost.exe                   1856 Services                   0      4,696 K
SearchIndexer.exe              788 Services                   0     33,520 K
vmcompute.exe                12252 Services                   0      2,596 K
dptf_helper.exe              12392 Console                    1      2,180 K
ETDCtrl.exe                  12444 Console                    1      1,428 K
DpCardEngine.exe             12500 Console                    1      1,660 K
sihost.exe                   12612 Console                    1     23,972 K
svchost.exe                  12628 Console                    1      3,376 K
svchost.exe                  12640 Console                    1      1,964 K
svchost.exe                  12648 Console                    1      9,616 K
svchost.exe                  12788 Console                    1      2,076 K
PresentationFontCache.exe    12860 Services                   0      2,960 K
svchost.exe                  12876 Console                    1     24,128 K
svchost.exe                  12964 Services                   0     18,568 K
taskhostw.exe                13120 Console                    1     11,480 K
igfxEMN.exe                  12756 Console                    1        876 K
svchost.exe                   7604 Services                   0      8,228 K
DPAgent.exe                  13408 Console                    1      2,128 K
svchost.exe                  13432 Services                   0     11,440 K
explorer.exe                 13456 Console                    1    304,212 K
SECOCL64.exe                 13476 Console                    1      7,504 K
conhost.exe                  13512 Console                    1        788 K
CrossDeviceResume.exe        14024 Console                    1      4,644 K
RtkAudUService64.exe         14120 Console                    1      5,736 K
svchost.exe                  14296 Services                   0     14,192 K
svchost.exe                  13908 Services                   0      5,720 K
svchost.exe                  14044 Services                   0     10,652 K
svchost.exe                  13300 Console                    1     20,972 K
SearchHost.exe                5688 Console                    1     28,280 K
StartMenuExperienceHost.e     5264 Console                    1     32,392 K
RuntimeBroker.exe            14488 Console                    1     14,508 K
svchost.exe                  14516 Console                    1      1,992 K
WidgetBoard.exe              14552 Console                    1     40,160 K
RuntimeBroker.exe            14584 Console                    1     11,580 K
UserOOBEBroker.exe           14896 Console                    1        780 K
msedgewebview2.exe           14936 Console                    1     33,352 K
msedgewebview2.exe           15052 Console                    1      1,456 K
msedgewebview2.exe            5044 Console                    1      8,408 K
msedgewebview2.exe            6024 Console                    1      8,992 K
msedgewebview2.exe            9684 Console                    1      2,040 K
msedgewebview2.exe           12128 Console                    1      6,868 K
ctfmon.exe                   15972 Console                    1     29,268 K
TabTip.exe                   15996 Console                    1     14,060 K
BraveCrashHandler.exe        15604 Services                   0        428 K
BraveCrashHandler64.exe      15788 Services                   0         96 K
TextInputHost.exe             9272 Console                    1     81,936 K
RtkAudUService64.exe         17340 Console                    1      3,732 K
audiodg.exe                  15392 Services                   0     26,276 K
WidgetService.exe            16304 Console                    1      8,164 K
MicrosoftStartFeedProvide    15612 Console                    1     31,412 K
RuntimeBroker.exe             1900 Console                    1      1,320 K
svchost.exe                  15580 Services                   0     12,496 K
SecurityHealthSystray.exe     6356 Console                    1        860 K
SecurityHealthService.exe    17012 Services                   0      8,000 K
svchost.exe                  15024 Services                   0      7,480 K
NeatDM.exe                   15824 Console                    1     18,108 K
ApplicationFrameHost.exe      7764 Console                    1     31,896 K
svchost.exe                  14084 Console                    1      9,096 K
RuntimeBroker.exe            14788 Console                    1      1,736 K
FileSyncHelper.exe           14048 Services                   0     12,584 K
msedgewebview2.exe            4904 Console                    1     54,016 K
msedgewebview2.exe            6384 Console                    1      1,092 K
msedgewebview2.exe           17372 Console                    1     71,788 K
msedgewebview2.exe            6924 Console                    1     21,904 K
msedgewebview2.exe           17068 Console                    1      7,052 K
msedgewebview2.exe            6784 Console                    1      5,664 K
msedgewebview2.exe           17292 Console                    1    152,272 K
WsaClient.exe                13816 Console                    1  1,601,020 K
WSACrashUploader.exe          6516 Console                    1      3,760 K
conhost.exe                   2992 Console                    1        220 K
WsaService.exe                8024 Services                   0      3,948 K
vmwp.exe                      5208 Services                   0      6,880 K
svchost.exe                  16612 Services                   0      1,592 K
vmmemWSA                      8776 Services                   0  1,150,948 K
msedgewebview2.exe            7044 Console                    1      5,604 K
svchost.exe                  11232 Services                   0      2,112 K
svchost.exe                   7760 Services                   0      5,168 K
svchost.exe                  17572 Services                   0      8,408 K
dllhost.exe                  17612 Console                    1      2,556 K
svchost.exe                  17956 Console                    1      9,984 K
svchost.exe                  17080 Services                   0      2,868 K
MicrosoftSecurityApp.exe     18272 Console                    1     37,764 K
RuntimeBroker.exe             5780 Console                    1      1,900 K
